week_no,device,no_of_users
35,acer aspire desktop,1
35,dell inspiron desktop,1
35,hp pavilion desktop,1
35,samsung galaxy note,1
35,htc one,2
35,ipad mini,2
35,iphone 5,2
35,mac mini,2
35,nexus 10,2
35,nexus 7,2
35,nokia lumia 635,2
35,acer aspire notebook,3
35,iphone 5s,3
35,kindle fire,3
35,windows surface,3
17,amazon fire phone,4
35,nexus 5,4
21,amazon fire phone,5
22,amazon fire phone,5
17,kindle fire,6
17,mac mini,6
19,samsumg galaxy tablet,6
21,samsumg galaxy tablet,6
28,amazon fire phone,6
32,samsumg galaxy tablet,6
35,asus chromebook,6
35,iphone 4s,6
35,samsung galaxy s4,6
17,samsung galaxy note,7
17,samsumg galaxy tablet,8
31,samsumg galaxy tablet,8
17,acer aspire desktop,9
18,amazon fire phone,9
20,samsumg galaxy tablet,9
26,samsung galaxy note,9
28,samsumg galaxy tablet,9
30,samsumg galaxy tablet,9
35,dell inspiron notebook,9
17,windows surface,10
18,windows surface,10
22,samsumg galaxy tablet,10
27,amazon fire phone,10
28,samsung galaxy note,10
32,windows surface,10
35,macbook air,10
18,samsumg galaxy tablet,11
19,samsung galaxy note,11
20,amazon fire phone,11
24,amazon fire phone,11
24,samsumg galaxy tablet,11
26,mac mini,11
34,amazon fire phone,11
19,amazon fire phone,12
25,samsumg galaxy tablet,12
26,samsumg galaxy tablet,12
29,amazon fire phone,12
30,amazon fire phone,12
32,amazon fire phone,12
32,kindle fire,12
32,samsung galaxy note,12
33,samsumg galaxy tablet,12
18,mac mini,13
25,amazon fire phone,13
26,amazon fire phone,13
29,samsumg galaxy tablet,13
31,htc one,13
33,samsung galaxy note,13
34,kindle fire,13
34,samsung galaxy note,13
17,hp pavilion desktop,14
23,samsumg galaxy tablet,14
23,samsung galaxy note,14
23,windows surface,14
25,samsung galaxy note,14
31,amazon fire phone,14
31,kindle fire,14
31,samsung galaxy note,14
33,amazon fire phone,14
33,kindle fire,14
34,samsumg galaxy tablet,14
18,samsung galaxy note,15
22,windows surface,15
27,mac mini,15
27,samsumg galaxy tablet,15
27,samsung galaxy note,15
30,samsung galaxy note,15
33,windows surface,15
17,htc one,16
17,nexus 10,16
19,windows surface,16
23,amazon fire phone,16
29,samsung galaxy note,16
35,lenovo thinkpad,16
17,nokia lumia 635,17
21,windows surface,17
34,nokia lumia 635,17
35,macbook pro,17
17,dell inspiron desktop,18
17,nexus 7,18
19,mac mini,18
20,samsung galaxy note,18
21,mac mini,18
23,mac mini,18
32,htc one,18
34,windows surface,18
17,ipad mini,19
18,htc one,19
22,samsung galaxy note,19
30,windows surface,19
31,windows surface,19
33,htc one,19
17,acer aspire notebook,20
21,samsung galaxy note,20
23,htc one,20
24,htc one,20
24,samsung galaxy note,20
32,mac mini,20
17,asus chromebook,21
17,iphone 4s,21
19,kindle fire,21
20,windows surface,21
21,htc one,21
22,kindle fire,21
25,htc one,21
25,mac mini,21
26,windows surface,21
20,nexus 10,22
20,nokia lumia 635,22
23,acer aspire desktop,22
24,windows surface,22
25,windows surface,22
19,acer aspire desktop,23
19,nokia lumia 635,23
20,acer aspire desktop,23
20,kindle fire,23
21,ipad mini,23
26,htc one,23
30,mac mini,23
33,nexus 10,23
22,htc one,24
24,acer aspire desktop,24
25,kindle fire,24
31,mac mini,24
31,nexus 10,24
19,nexus 10,25
21,nexus 10,25
21,nokia lumia 635,25
22,acer aspire desktop,25
22,mac mini,25
22,nokia lumia 635,25
23,kindle fire,25
24,kindle fire,25
27,kindle fire,25
29,nexus 10,25
30,kindle fire,25
32,nexus 7,25
34,htc one,25
34,ipad mini,25
34,nexus 10,25
18,acer aspire desktop,26
20,mac mini,26
26,kindle fire,26
28,htc one,26
28,nexus 10,26
17,ipad air,27
18,kindle fire,27
19,asus chromebook,27
22,nexus 10,27
27,htc one,27
31,ipad mini,27
33,nokia lumia 635,27
25,acer aspire desktop,28
28,mac mini,28
